Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
261,Damion Lee*/players/l/leeda03.html,SG,29,GSW,19,0,391,59,138,.428,21,64,.328,38,74,.514,.504,22,26,.846,7,53,60,21,7,2,12,27,161
262,Saben Lee*/players/l/leesa01.html,PG,22,DET,10,0,122,14,40,.350,4,19,.211,10,21,.476,.400,7,12,.583,2,16,18,16,9,2,6,6,39
263,Alex Len*/players/l/lenal01.html,C,28,SAC,18,4,290,41,78,.526,6,15,.400,35,63,.556,.564,18,27,.667,17,52,69,18,4,18,20,54,106
264,Caris LeVert*/players/l/leverca01.html,SG,27,IND,20,20,562,125,292,.428,26,90,.289,99,202,.490,.473,34,43,.791,9,48,57,63,18,11,30,38,310
265,Kira Lewis Jr.*/players/l/lewiski01.html,PG,20,NOP,24,0,341,59,146,.404,13,58,.224,46,88,.523,.449,10,12,.833,9,30,39,49,11,1,26,17,141
266,Damian Lillard*/players/l/lillada01.html,PG,31,POR,20,20,714,146,368,.397,55,182,.302,91,186,.489,.471,82,90,.911,8,71,79,156,13,8,52,28,429
267,Nassir Little*/players/l/littlna01.html,SF,21,POR,22,3,495,70,144,.486,22,67,.328,48,77,.623,.563,30,39,.769,30,88,118,17,16,14,20,46,192
268,Kevon Looney*/players/l/looneke01.html,C,25,GSW,25,25,443,56,107,.523,0,1,.000,56,106,.528,.523,24,43,.558,60,98,158,28,13,17,16,61,136
269,Brook Lopez*/players/l/lopezbr01.html,C,33,MIL,1,1,28,3,9,.333,2,4,.500,1,5,.200,.444,0,0,None,2,3,5,0,1,3,0,3,8
270,Robin Lopez*/players/l/lopezro01.html,C,33,ORL,9,1,136,27,43,.628,0,1,.000,27,42,.643,.628,11,18,.611,17,9,26,9,0,5,9,14,65
271,Didi Louzada*/players/l/louzama01.html,SF,22,NOP,2,0,7,0,3,.000,0,3,.000,0,0,None,.000,0,0,None,2,0,2,1,0,0,0,0,0
272,Kevin Love*/players/l/loveke01.html,PF,33,CLE,19,0,383,68,169,.402,36,96,.375,32,73,.438,.509,44,46,.957,21,117,138,39,5,5,21,19,216
273,Kyle Lowry*/players/l/lowryky01.html,PG,35,MIA,24,24,821,112,264,.424,49,157,.312,63,107,.589,.517,47,54,.870,12,95,107,188,25,8,75,66,320
274,Timothé Luwawu-Cabarrot*/players/l/luwawti01.html,SF,26,ATL,19,5,204,23,65,.354,16,43,.372,7,22,.318,.477,5,6,.833,4,20,24,10,4,3,3,25,67
275,Trey Lyles*/players/l/lylestr01.html,PF,26,DET,25,0,415,66,154,.429,21,68,.309,45,86,.523,.497,43,54,.796,34,73,107,18,7,4,22,35,196
276,Théo Maledon*/players/m/maledth01.html,PG,20,OKC,13,0,159,10,41,.244,3,26,.115,7,15,.467,.280,13,15,.867,5,18,23,13,4,2,15,10,36
277,Sandro Mamukelashvili*/players/m/mamuksa01.html,PF,22,MIL,12,1,114,14,31,.452,4,11,.364,10,20,.500,.516,2,3,.667,14,14,28,6,0,1,3,6,34
278,Terance Mann*/players/m/mannte01.html,SF,25,LAC,25,1,686,89,194,.459,23,68,.338,66,126,.524,.518,36,46,.783,38,94,132,57,16,2,29,58,237
279,Tre Mann*/players/m/manntr01.html,PG,20,OKC,17,2,273,49,118,.415,17,48,.354,32,70,.457,.487,13,18,.722,7,23,30,5,10,5,13,24,128
280,Boban Marjanović*/players/m/marjabo01.html,C,33,DAL,13,0,81,29,45,.644,1,2,.500,28,43,.651,.656,6,13,.462,6,20,26,2,0,2,8,16,65
281,Lauri Markkanen*/players/m/markkla01.html,PF,24,CLE,18,18,558,94,218,.431,44,123,.358,50,95,.526,.532,34,40,.850,21,80,101,22,15,9,13,26,266
282,Naji Marshall*/players/m/marshna01.html,SF,24,NOP,19,0,209,19,61,.311,3,24,.125,16,37,.432,.336,25,29,.862,14,40,54,20,8,3,19,20,66
283,Caleb Martin*/players/m/martica02.html,SF,26,MIA,23,2,450,66,135,.489,20,53,.377,46,82,.561,.563,23,36,.639,19,54,73,22,20,13,13,34,175
284,Cody Martin*/players/m/martico01.html,SF,26,CHO,26,3,702,86,174,.494,28,58,.483,58,116,.500,.575,33,45,.733,37,79,116,65,36,15,18,47,233
285,Kelan Martin*/players/m/martike03.html,SF,26,IND,21,1,357,60,140,.429,18,60,.300,42,80,.525,.493,7,11,.636,14,26,40,20,11,8,13,28,145
286,Kenyon Martin Jr.*/players/m/martike04.html,SF,21,HOU,24,0,377,67,122,.549,9,33,.273,58,89,.652,.586,17,27,.630,15,58,73,25,9,11,10,26,160
287,Garrison Mathews*/players/m/mathega01.html,SG,25,HOU,12,7,346,51,106,.481,38,91,.418,13,15,.867,.660,21,27,.778,10,27,37,4,10,6,3,32,161
288,Wesley Matthews*/players/m/matthwe02.html,SG,35,MIL,4,0,56,4,11,.364,2,8,.250,2,3,.667,.455,0,2,.000,1,4,5,1,2,1,2,6,10
289,Tyrese Maxey*/players/m/maxeyty01.html,PG,21,PHI,25,25,867,155,333,.465,27,75,.360,128,258,.496,.506,76,86,.884,11,82,93,117,19,14,31,59,413
290,Skylar Mays*/players/m/mayssk01.html,SG,24,ATL,7,0,19,4,5,.800,1,2,.500,3,3,1.000,.900,5,5,1.000,0,2,2,1,0,0,2,2,14
291,Miles McBride*/players/m/mcbrimi01.html,PG,21,NYK,7,0,12,2,11,.182,0,6,.000,2,5,.400,.182,2,2,1.000,1,1,2,2,2,1,0,1,6
292,CJ McCollum*/players/m/mccolcj01.html,SG,30,POR,24,24,848,191,451,.424,77,196,.393,114,255,.447,.509,35,50,.700,27,72,99,107,26,17,46,51,494
293,T.J. McConnell*/players/m/mccontj01.html,PG,29,IND,24,6,581,91,181,.503,7,25,.280,84,156,.538,.522,12,15,.800,19,61,80,115,25,9,28,43,201
294,Jaden McDaniels*/players/m/mcdanja02.html,PF,21,MIN,23,11,573,56,146,.384,16,64,.250,40,82,.488,.438,10,14,.714,34,64,98,19,22,13,22,83,138
295,Jalen McDaniels*/players/m/mcdanja01.html,SF,24,CHO,22,0,331,42,80,.525,20,44,.455,22,36,.611,.650,16,25,.640,13,59,72,21,8,8,13,37,120
296,Doug McDermott*/players/m/mcderdo01.html,PF,30,SAS,17,17,432,75,159,.472,38,87,.437,37,72,.514,.591,10,13,.769,8,32,40,23,3,1,11,22,198
297,JaVale McGee*/players/m/mcgeeja01.html,C,34,PHO,25,7,398,113,172,.657,1,2,.500,112,170,.659,.660,35,53,.660,64,118,182,15,8,22,39,60,262
298,Rodney McGruder*/players/m/mcgruro01.html,SG,30,DET,9,0,48,5,14,.357,2,8,.250,3,6,.500,.429,2,2,1.000,2,4,6,3,0,1,1,1,14
299,JaQuori McLaughlin*/players/m/mclauja01.html,PG,24,DAL,2,0,5,0,1,.000,0,0,None,0,1,.000,.000,0,0,None,0,0,0,2,0,0,0,0,0
300,Jordan McLaughlin*/players/m/mclaujo01.html,PG,25,MIN,18,0,197,13,44,.295,4,20,.200,9,24,.375,.341,9,11,.818,3,14,17,38,11,0,12,7,39
301,Ben McLemore*/players/m/mclembe01.html,SG,28,POR,11,0,138,21,50,.420,16,43,.372,5,7,.714,.580,6,7,.857,3,8,11,8,3,0,6,10,64
302,De'Anthony Melton*/players/m/meltode01.html,SG,23,MEM,23,13,573,91,223,.408,43,120,.358,48,103,.466,.504,15,22,.682,22,74,96,60,37,14,37,37,240
303,Sam Merrill*/players/m/merrisa01.html,SG,25,MEM,6,0,58,8,24,.333,7,23,.304,1,1,1.000,.479,2,4,.500,1,6,7,4,0,0,2,3,25
304,Chimezie Metu*/players/m/metuch01.html,C,24,SAC,13,10,301,43,109,.394,15,56,.268,28,53,.528,.463,11,15,.733,14,73,87,14,11,12,14,15,112
305,Khris Middleton*/players/m/middlkh01.html,SF,30,MIL,19,19,594,118,287,.411,42,119,.353,76,168,.452,.484,68,78,.872,11,93,104,96,21,3,59,37,346
306,Patty Mills*/players/m/millspa02.html,PG,33,BRK,26,12,751,114,255,.447,78,175,.446,36,80,.450,.600,18,20,.900,7,36,43,59,15,7,21,34,324
307,Paul Millsap*/players/m/millspa01.html,PF,36,BRK,21,0,235,27,76,.355,6,25,.240,21,51,.412,.395,12,17,.706,25,52,77,21,5,7,10,44,72
308,Shake Milton*/players/m/miltosh01.html,PG,25,PHI,21,5,531,92,200,.460,21,63,.333,71,137,.518,.513,33,37,.892,11,53,64,60,14,9,22,40,238
309,Davion Mitchell*/players/m/mitchda01.html,PG,23,SAC,26,0,664,98,253,.387,30,104,.288,68,149,.456,.447,20,30,.667,17,50,67,89,19,5,26,59,246
310,Donovan Mitchell*/players/m/mitchdo01.html,SG,25,UTA,24,24,779,220,486,.453,78,224,.348,142,262,.542,.533,73,83,.880,22,74,96,121,40,5,72,59,591
311,Evan Mobley*/players/m/mobleev01.html,PF,20,CLE,23,23,767,126,262,.481,14,42,.333,112,220,.509,.508,54,69,.783,39,149,188,57,21,45,39,49,320
312,Malik Monk*/players/m/monkma01.html,SG,23,LAL,27,2,648,101,224,.451,48,131,.366,53,93,.570,.558,20,25,.800,11,63,74,59,20,7,36,41,270
313,Moses Moody*/players/m/moodymo01.html,SG,19,GSW,16,0,93,11,28,.393,2,15,.133,9,13,.692,.429,1,2,.500,1,10,11,3,1,2,1,4,25
314,Ja Morant*/players/m/moranja01.html,PG,22,MEM,19,19,619,170,357,.476,31,87,.356,139,270,.515,.520,87,112,.777,25,81,106,129,30,5,60,25,458
315,Marcus Morris*/players/m/morrima03.html,PF,32,LAC,10,10,296,47,112,.420,22,58,.379,25,54,.463,.518,13,16,.813,2,35,37,21,5,4,15,26,129
316,Markieff Morris*/players/m/morrima02.html,PF,32,MIA,10,0,187,32,70,.457,8,22,.364,24,48,.500,.514,5,5,1.000,13,15,28,14,3,1,12,22,77
317,Monte Morris*/players/m/morrimo01.html,PG,26,DEN,25,25,755,129,274,.471,35,102,.343,94,172,.547,.535,9,13,.692,6,61,67,107,20,3,31,39,302
318,Mychal Mulder*/players/m/muldemy01.html,PG,27,ORL,12,1,130,13,49,.265,10,34,.294,3,15,.200,.367,2,2,1.000,2,12,14,1,3,1,4,8,38
319,Trey Murphy III*/players/m/murphtr02.html,SF,21,NOP,26,0,374,40,109,.367,31,80,.388,9,29,.310,.509,9,10,.900,18,42,60,14,8,4,10,32,120
320,Dejounte Murray*/players/m/murrade01.html,PG,25,SAS,24,24,835,189,423,.447,35,101,.347,154,322,.478,.488,40,57,.702,25,176,201,203,46,9,59,50,453
321,Mike Muscala*/players/m/muscami01.html,C,30,OKC,19,0,268,49,110,.445,31,73,.425,18,37,.486,.586,24,30,.800,9,52,61,10,7,10,9,24,153
322,Svi Mykhailiuk*/players/m/mykhasv01.html,SF,24,TOR,26,4,471,64,153,.418,28,87,.322,36,66,.545,.510,20,22,.909,16,50,66,27,20,3,19,33,176
323,Abdel Nader*/players/n/naderab01.html,SF,28,PHO,14,0,145,12,35,.343,4,14,.286,8,21,.381,.400,6,10,.600,4,23,27,7,8,4,11,20,34
324,Larry Nance Jr.*/players/n/nancela02.html,PF,29,POR,26,0,529,65,125,.520,12,42,.286,53,83,.639,.568,18,29,.621,37,93,130,39,23,9,20,38,160
325,RJ Nembhard*/players/n/nembhrj01.html,SG,22,CLE,2,0,3,1,1,1.000,0,0,None,1,1,1.000,1.000,0,0,None,0,1,1,1,0,0,0,0,2
326,Aaron Nesmith*/players/n/nesmiaa01.html,SF,22,BOS,22,0,216,25,70,.357,12,47,.255,13,23,.565,.443,4,5,.800,7,27,34,8,7,1,12,29,66
327,Raul Neto*/players/n/netora01.html,PG,29,WAS,25,0,495,76,163,.466,11,42,.262,65,121,.537,.500,28,39,.718,4,45,49,66,19,1,31,38,191
328,Georges Niang*/players/n/niangge01.html,PF,28,PHI,26,5,621,101,229,.441,53,138,.384,48,91,.527,.557,27,29,.931,6,61,67,41,16,8,19,67,282
329,Daishen Nix*/players/n/nixda01.html,SG,19,HOU,1,0,2,0,0,None,0,0,None,0,0,None,None,0,0,None,0,0,0,1,0,0,0,0,0
330,Zeke Nnaji*/players/n/nnajize01.html,PF,21,DEN,13,0,179,29,58,.500,17,29,.586,12,29,.414,.647,10,16,.625,13,27,40,4,1,5,6,19,85
331,Nerlens Noel*/players/n/noelne01.html,C,27,NYK,12,5,275,19,35,.543,0,2,.000,19,33,.576,.543,12,14,.857,29,41,70,10,12,14,12,32,50
332,Jaylen Nowell*/players/n/nowelja01.html,SG,22,MIN,12,0,79,16,40,.400,3,11,.273,13,29,.448,.438,2,4,.500,3,8,11,12,3,3,1,3,37
333,Frank Ntilikina*/players/n/ntilila01.html,PG,23,DAL,18,0,242,28,80,.350,15,44,.341,13,36,.361,.444,12,12,1.000,3,29,32,23,12,3,11,19,83
334,Jusuf Nurkić*/players/n/nurkiju01.html,C,27,POR,26,26,645,133,230,.578,5,21,.238,128,209,.612,.589,76,102,.745,64,202,266,61,28,14,52,79,347
335,David Nwaba*/players/n/nwabada01.html,SF,29,HOU,17,0,187,24,56,.429,1,15,.067,23,41,.561,.438,14,22,.636,10,41,51,10,11,5,8,18,63
336,Jordan Nwora*/players/n/nworajo01.html,SF,23,MIL,21,0,372,55,139,.396,26,72,.361,29,67,.433,.489,11,13,.846,11,57,68,24,5,9,25,21,147
337,Royce O'Neale*/players/o/onealro01.html,SF,28,UTA,23,23,716,67,134,.500,37,92,.402,30,42,.714,.638,13,19,.684,23,93,116,55,36,16,27,52,184
338,Semi Ojeleye*/players/o/ojelese01.html,PF,27,MIL,11,0,218,12,47,.255,6,28,.214,6,19,.316,.319,3,5,.600,21,19,40,4,4,5,5,17,33
339,Chuma Okeke*/players/o/okekech01.html,PF,23,ORL,20,0,418,50,134,.373,14,62,.226,36,72,.500,.425,23,27,.852,13,67,80,24,14,6,16,25,137
340,Josh Okogie*/players/o/okogijo01.html,SG,23,MIN,18,5,258,16,48,.333,5,20,.250,11,28,.393,.385,10,20,.500,17,24,41,17,11,5,9,25,47
341,Isaac Okoro*/players/o/okorois01.html,SF,21,CLE,20,16,576,58,148,.392,13,59,.220,45,89,.506,.436,28,38,.737,29,51,80,35,17,6,21,46,157
342,KZ Okpala*/players/o/okpalkz01.html,PF,22,MIA,13,0,103,9,24,.375,3,12,.250,6,12,.500,.438,6,8,.750,5,17,22,6,2,3,1,9,27
343,Kelly Olynyk*/players/o/olynyke01.html,C,30,DET,10,1,230,45,98,.459,14,41,.341,31,57,.544,.531,21,35,.600,13,40,53,23,14,7,15,27,125
344,Eugene Omoruyi*/players/o/omorueu01.html,SF,24,DAL,4,0,18,2,5,.400,1,2,.500,1,3,.333,.500,2,4,.500,2,5,7,2,0,0,0,2,7
345,Miye Oni*/players/o/onimi01.html,SG,24,UTA,12,0,36,1,5,.200,0,4,.000,1,1,1.000,.200,0,1,.000,0,5,5,4,0,0,1,5,2
346,Cedi Osman*/players/o/osmande01.html,SF,26,CLE,21,0,473,83,179,.464,49,119,.412,34,60,.567,.601,22,30,.733,7,49,56,38,23,7,20,37,237
347,Kelly Oubre Jr.*/players/o/oubreke01.html,SF,26,CHO,28,9,820,177,382,.463,83,215,.386,94,167,.563,.572,37,57,.649,35,83,118,36,30,10,30,70,474
348,Kevin Pangos*/players/p/pangoke01.html,PG,29,CLE,10,0,34,3,8,.375,2,5,.400,1,3,.333,.500,1,2,.500,1,1,2,6,1,0,4,5,9
349,Jabari Parker*/players/p/parkeja01.html,PF,26,BOS,9,0,84,14,27,.519,5,9,.556,9,18,.500,.611,8,8,1.000,4,16,20,4,3,1,5,11,41
350,Eric Paschall*/players/p/pascher01.html,PF,25,UTA,21,0,238,25,60,.417,11,38,.289,14,22,.636,.508,12,17,.706,13,26,39,14,3,3,12,17,73
351,Chris Paul*/players/p/paulch01.html,PG,36,PHO,25,25,808,129,269,.480,25,75,.333,104,194,.536,.526,77,93,.828,7,91,98,255,49,9,59,52,360
352,Cameron Payne*/players/p/payneca01.html,PG,27,PHO,20,0,368,72,187,.385,22,70,.314,50,117,.427,.444,35,42,.833,8,50,58,61,11,6,36,36,201
353,Elfrid Payton*/players/p/paytoel01.html,PG,27,PHO,11,0,126,20,46,.435,0,2,.000,20,44,.455,.435,4,8,.500,6,18,24,23,5,1,8,9,44
354,Gary Payton II*/players/p/paytoga02.html,PG,29,GSW,24,1,351,64,96,.667,13,33,.394,51,63,.810,.734,19,29,.655,25,51,76,18,31,3,12,41,160
355,Jamorko Pickett*/players/p/pickeja01.html,PF,24,DET,3,0,9,1,1,1.000,1,1,1.000,0,0,None,1.500,0,0,None,0,0,0,0,0,0,1,0,3
356,Mason Plumlee*/players/p/plumlma01.html,C,31,CHO,20,20,523,59,99,.596,0,0,None,59,99,.596,.596,18,52,.346,51,94,145,55,17,20,24,60,136
357,Jakob Poeltl*/players/p/poeltja01.html,C,26,SAS,17,16,497,97,158,.614,0,0,None,97,158,.614,.614,12,37,.324,73,85,158,45,8,28,25,51,206
358,Aleksej Pokusevski*/players/p/pokusal01.html,PF,20,OKC,25,0,362,48,140,.343,12,61,.197,36,79,.456,.386,5,10,.500,26,77,103,29,12,12,29,30,113
359,Yves Pons*/players/p/ponsyv01.html,SF,22,MEM,2,0,4,0,1,.000,0,0,None,0,1,.000,.000,0,0,None,1,0,1,0,0,0,0,0,0
360,Jordan Poole*/players/p/poolejo01.html,SG,22,GSW,25,25,761,160,357,.448,69,200,.345,91,157,.580,.545,61,67,.910,8,72,80,87,28,6,61,72,450
361,Kevin Porter Jr.*/players/p/porteke02.html,PG,21,HOU,19,19,574,83,232,.358,34,110,.309,49,122,.402,.431,44,70,.629,16,68,84,110,25,6,76,43,244
362,Michael Porter Jr.*/players/p/portemi01.html,SF,23,DEN,9,9,265,37,103,.359,10,48,.208,27,55,.491,.408,5,9,.556,9,50,59,17,10,2,12,16,89
363,Otto Porter*/players/p/porteot01.html,PF,28,GSW,22,0,427,56,124,.452,38,89,.427,18,35,.514,.605,15,19,.789,16,87,103,24,19,7,14,30,165
364,Bobby Portis*/players/p/portibo01.html,C,26,MIL,22,18,627,128,271,.472,41,101,.406,87,170,.512,.548,42,53,.792,61,138,199,30,19,24,37,59,339
365,Kristaps Porziņģis*/players/p/porzikr01.html,PF,26,DAL,18,18,540,128,280,.457,30,100,.300,98,180,.544,.511,67,75,.893,40,98,138,37,15,26,24,44,353
366,Dwight Powell*/players/p/poweldw01.html,C,30,DAL,25,22,502,56,96,.583,7,19,.368,49,77,.636,.620,28,41,.683,50,64,114,30,12,14,18,62,147
367,Norman Powell*/players/p/powelno01.html,SF,28,POR,22,22,667,129,278,.464,41,103,.398,88,175,.503,.538,84,102,.824,7,46,53,39,18,8,28,43,383
368,Joshua Primo*/players/p/primojo01.html,SG,19,SAS,8,0,59,6,11,.545,4,8,.500,2,3,.667,.727,0,0,None,1,5,6,4,3,4,0,4,16
369,Taurean Prince*/players/p/princta02.html,PF,27,MIN,24,8,370,37,101,.366,21,68,.309,16,33,.485,.470,16,21,.762,11,39,50,19,10,5,13,36,111
370,Payton Pritchard*/players/p/pritcpa01.html,SG,24,BOS,21,0,200,19,70,.271,15,47,.319,4,23,.174,.379,5,5,1.000,7,18,25,31,1,2,13,15,58
371,Immanuel Quickley*/players/q/quickim01.html,PG,22,NYK,26,1,554,83,214,.388,43,128,.336,40,86,.465,.488,39,42,.929,11,51,62,62,16,0,25,53,248
372,Jahmi'us Ramsey*/players/r/ramseja01.html,SG,20,SAC,7,0,46,5,14,.357,1,6,.167,4,8,.500,.393,2,4,.500,0,0,0,2,0,1,0,3,13
373,Julius Randle*/players/r/randlju01.html,PF,27,NYK,26,26,918,184,428,.430,45,136,.331,139,292,.476,.482,95,125,.760,48,212,260,136,19,18,85,71,508
374,Austin Reaves*/players/r/reaveau01.html,SG,23,LAL,15,0,278,28,58,.483,10,33,.303,18,25,.720,.569,13,15,.867,5,26,31,15,3,2,11,24,79
375,Cam Reddish*/players/r/reddica01.html,SF,22,ATL,22,0,489,83,207,.401,34,92,.370,49,115,.426,.483,45,50,.900,18,41,59,21,23,4,29,31,245
376,Davon Reed*/players/r/reedda01.html,SG,26,DEN,4,0,59,6,12,.500,3,5,.600,3,7,.429,.625,0,0,None,1,10,11,5,5,1,2,4,15
377,Paul Reed*/players/r/reedpa01.html,C,22,PHI,14,2,137,18,35,.514,0,3,.000,18,32,.563,.514,0,0,None,16,22,38,8,9,9,6,21,36
378,Naz Reid*/players/r/reidna01.html,C,22,MIN,24,1,394,81,173,.468,22,62,.355,59,111,.532,.532,35,50,.700,32,54,86,17,13,22,20,59,219
379,Nick Richards*/players/r/richani01.html,C,24,CHO,22,4,209,34,49,.694,0,0,None,34,49,.694,.694,15,18,.833,21,27,48,7,4,13,13,34,83
380,Josh Richardson*/players/r/richajo01.html,SG,28,BOS,20,0,488,71,153,.464,23,65,.354,48,88,.545,.539,28,34,.824,13,43,56,26,12,9,14,37,193
381,Austin Rivers*/players/r/riverau01.html,SG,29,DEN,18,3,314,27,78,.346,13,48,.271,14,30,.467,.429,3,6,.500,7,19,26,14,9,2,10,22,70
382,Duncan Robinson*/players/r/robindu01.html,SG,27,MIA,26,26,725,97,264,.367,74,222,.333,23,42,.548,.508,11,15,.733,8,81,89,35,20,6,22,73,279
383,Justin Robinson*/players/r/robinju01.html,PG,24,MIL,17,0,198,18,57,.316,10,37,.270,8,20,.400,.404,2,2,1.000,2,11,13,21,8,0,11,17,48
384,Mitchell Robinson*/players/r/robinmi01.html,C,23,NYK,23,20,568,62,84,.738,0,0,None,62,84,.738,.738,32,50,.640,72,106,178,15,10,41,14,63,156
385,Jeremiah Robinson-Earl*/players/r/robinje02.html,C,21,OKC,25,18,548,65,155,.419,26,77,.338,39,78,.500,.503,14,21,.667,45,104,149,22,13,7,21,37,170
386,Isaiah Roby*/players/r/robyis01.html,PF,23,OKC,13,1,164,32,62,.516,5,15,.333,27,47,.574,.556,14,17,.824,14,21,35,10,3,5,9,15,83
387,Rajon Rondo*/players/r/rondora01.html,PG,35,LAL,14,0,208,20,63,.317,7,25,.280,13,38,.342,.373,0,0,None,8,26,34,50,11,3,23,20,47
388,Derrick Rose*/players/r/rosede01.html,PG,33,NYK,23,1,553,109,243,.449,32,81,.395,77,162,.475,.514,28,29,.966,20,51,71,89,18,12,35,13,278
389,Terrence Ross*/players/r/rosste01.html,SG,30,ORL,25,0,624,89,225,.396,35,116,.302,54,109,.495,.473,42,52,.808,6,48,54,51,12,4,38,30,255
390,Terry Rozier*/players/r/roziete01.html,SG,27,CHO,19,19,626,124,289,.429,49,140,.350,75,149,.503,.514,40,46,.870,12,55,67,68,25,10,26,26,337
391,Ricky Rubio*/players/r/rubiori01.html,PG,31,CLE,27,5,775,116,325,.357,48,140,.343,68,185,.368,.431,70,83,.843,12,97,109,172,30,4,72,60,350
392,D'Angelo Russell*/players/r/russeda01.html,PG,25,MIN,21,21,686,138,361,.382,60,186,.323,78,175,.446,.465,63,76,.829,10,71,81,135,18,16,56,46,399
393,Domantas Sabonis*/players/s/sabondo01.html,C,25,IND,28,27,954,194,332,.584,22,71,.310,172,261,.659,.617,99,130,.762,90,243,333,118,31,10,84,93,509
394,Tomáš Satoranský*/players/s/satorto01.html,SG,30,NOP,23,3,347,25,72,.347,3,18,.167,22,54,.407,.368,12,16,.750,13,35,48,46,7,0,18,29,65
395,Dennis Schröder*/players/s/schrode01.html,SG,28,BOS,26,17,869,165,371,.445,41,120,.342,124,251,.494,.500,84,94,.894,17,77,94,128,24,1,67,62,455
396,Jay Scrubb*/players/s/scrubja01.html,SG,21,LAC,7,0,48,11,26,.423,4,12,.333,7,14,.500,.500,1,2,.500,0,4,4,4,1,2,1,3,27
397,Wayne Selden*/players/s/seldewa01.html,SG,27,NYK,1,0,1,0,0,None,0,0,None,0,0,None,None,0,0,None,0,0,0,0,0,0,0,0,0
398,Alperen Şengün*/players/s/sengual01.html,C,19,HOU,24,2,425,71,142,.500,10,28,.357,61,114,.535,.535,59,85,.694,34,73,107,59,26,14,41,72,211
399,Collin Sexton*/players/s/sextoco01.html,SG,23,CLE,11,11,316,68,151,.450,11,45,.244,57,106,.538,.487,29,39,.744,13,23,36,23,10,0,31,25,176
400,Landry Shamet*/players/s/shamela01.html,SG,24,PHO,24,4,481,60,160,.375,43,108,.398,17,52,.327,.509,26,31,.839,5,54,59,40,6,2,13,28,189
401,Day'Ron Sharpe*/players/s/sharpda01.html,PF,20,BRK,8,0,36,9,17,.529,1,3,.333,8,14,.571,.559,2,5,.400,8,9,17,0,2,2,6,4,21
402,Pascal Siakam*/players/s/siakapa01.html,PF,27,TOR,15,15,512,105,230,.457,18,53,.340,87,177,.492,.496,56,74,.757,29,86,115,57,9,12,34,50,284
403,Marko Simonovic*/players/s/simonma01.html,C,22,CHI,2,0,8,0,1,.000,0,1,.000,0,0,None,.000,1,2,.500,0,1,1,0,0,0,1,0,1
404,Anfernee Simons*/players/s/simonan01.html,SG,22,POR,22,3,505,100,218,.459,45,118,.381,55,100,.550,.562,18,19,.947,11,47,58,48,10,4,25,35,263
405,Jericho Sims*/players/s/simsje01.html,PF,23,NYK,9,0,58,3,3,1.000,0,0,None,3,3,1.000,1.000,3,4,.750,3,12,15,1,2,4,2,4,9
406,Javonte Smart*/players/s/smartja01.html,PG,22,MIL,4,0,55,6,16,.375,2,9,.222,4,7,.571,.438,5,6,.833,4,7,11,6,1,0,2,4,19
407,Marcus Smart*/players/s/smartma01.html,PG,27,BOS,26,26,893,101,264,.383,35,125,.280,66,139,.475,.449,50,66,.758,14,86,100,139,57,7,51,62,287
408,Dennis Smith Jr.*/players/s/smithde03.html,PG,24,POR,15,3,274,34,80,.425,5,18,.278,29,62,.468,.456,19,27,.704,6,30,36,50,21,6,27,22,92
409,Ish Smith*/players/s/smithis01.html,PG,33,CHO,18,1,245,40,96,.417,3,6,.500,37,90,.411,.432,3,8,.375,2,21,23,44,8,4,16,13,86
410,Jalen Smith*/players/s/smithja04.html,PF,21,PHO,8,0,57,10,22,.455,1,8,.125,9,14,.643,.477,6,7,.857,6,18,24,1,2,3,2,6,27
411,Tony Snell*/players/s/snellto01.html,SG,30,POR,20,3,243,13,43,.302,9,33,.273,4,10,.400,.407,1,1,1.000,2,26,28,12,4,3,4,17,36
412,Jaden Springer*/players/s/sprinja01.html,SG,19,PHI,1,0,2,0,0,None,0,0,None,0,0,None,None,0,0,None,0,0,0,0,0,0,0,0,0
413,Lamar Stevens*/players/s/stevela01.html,PF,24,CLE,17,0,168,18,49,.367,6,17,.353,12,32,.375,.429,4,7,.571,10,15,25,5,4,4,6,21,46
414,Isaiah Stewart*/players/s/stewais01.html,C,20,DET,23,23,581,77,138,.558,1,12,.083,76,126,.603,.562,17,25,.680,56,127,183,27,9,28,24,59,172
415,Max Strus*/players/s/strusma01.html,SF,25,MIA,19,0,384,57,124,.460,38,91,.418,19,33,.576,.613,13,18,.722,5,52,57,15,8,2,12,28,165
416,Jalen Suggs*/players/s/suggsja01.html,PG,20,ORL,21,21,583,87,257,.339,26,102,.255,61,155,.394,.389,58,76,.763,16,55,71,75,24,9,67,58,258
417,Jae'Sean Tate*/players/t/tateja01.html,SF,26,HOU,25,25,708,118,240,.492,18,66,.273,100,174,.575,.529,48,66,.727,49,106,155,77,20,17,49,86,302
418,Jayson Tatum*/players/t/tatumja01.html,SF,23,BOS,27,27,979,243,587,.414,73,223,.327,170,364,.467,.476,132,162,.815,31,205,236,97,24,21,75,67,691
419,Garrett Temple*/players/t/templga01.html,SG,35,NOP,26,9,488,48,126,.381,28,76,.368,20,50,.400,.492,19,24,.792,20,56,76,29,25,15,21,44,143
