Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
235,Derrick Jones Jr.*/players/j/jonesde02.html,PF,24,CHI,22,2,406,58,99,.586,8,25,.320,50,74,.676,.626,30,36,.833,30,47,77,12,12,21,12,52,154
236,Herb Jones*/players/j/joneshe01.html,C,23,NOP,25,16,676,72,154,.468,10,26,.385,62,128,.484,.500,23,30,.767,30,55,85,45,35,21,28,76,177
237,Kai Jones*/players/j/joneska01.html,C,21,CHO,7,0,14,2,3,.667,0,0,None,2,3,.667,.667,1,2,.500,1,2,3,0,0,0,3,1,5
238,Tre Jones*/players/j/jonestr01.html,PG,22,SAS,22,0,225,34,71,.479,0,5,.000,34,66,.515,.479,11,11,1.000,4,22,26,36,9,0,14,17,79
239,Tyus Jones*/players/j/jonesty01.html,PG,25,MEM,26,7,513,70,155,.452,24,60,.400,46,95,.484,.529,20,22,.909,5,62,67,109,23,2,20,12,184
240,DeAndre Jordan*/players/j/jordade01.html,C,33,LAL,21,16,287,46,67,.687,0,0,None,46,67,.687,.687,7,12,.583,34,90,124,8,8,17,18,36,99
241,Cory Joseph*/players/j/josepco01.html,PG,30,DET,24,4,504,50,118,.424,12,40,.300,38,78,.487,.475,36,43,.837,7,37,44,83,20,5,35,36,148
242,Georgios Kalaitzakis*/players/k/kalaige01.html,SF,23,MIL,9,0,48,5,11,.455,2,4,.500,3,7,.429,.545,4,9,.444,4,4,8,0,1,1,4,8,16
243,Frank Kaminsky*/players/k/kaminfr01.html,C,28,PHO,9,0,181,36,66,.545,5,15,.333,31,51,.608,.583,18,20,.900,11,30,41,13,8,7,5,14,95
244,Luke Kennard*/players/k/kennalu01.html,SG,25,LAC,26,1,728,99,228,.434,67,153,.438,32,75,.427,.581,16,17,.941,6,81,87,46,21,2,21,38,281
245,Louis King*/players/k/kinglo02.html,SF,22,SAC,3,0,49,7,21,.333,4,14,.286,3,7,.429,.429,6,7,.857,0,7,7,1,2,0,0,7,24
246,Corey Kispert*/players/k/kispeco01.html,SF,22,WAS,23,0,279,32,78,.410,11,46,.239,21,32,.656,.481,11,14,.786,10,31,41,12,5,3,8,10,86
247,Maxi Kleber*/players/k/klebima01.html,PF,30,DAL,16,3,349,37,89,.416,23,64,.359,14,25,.560,.545,14,20,.700,18,63,81,12,7,14,10,35,111
248,Nathan Knight*/players/k/knighna01.html,PF,24,MIN,11,0,42,5,8,.625,0,1,.000,5,7,.714,.625,11,14,.786,4,9,13,3,1,2,3,5,21
249,Kevin Knox*/players/k/knoxke01.html,SF,22,NYK,6,0,22,2,7,.286,1,4,.250,1,3,.333,.357,1,2,.500,2,0,2,1,0,0,2,2,6
250,John Konchar*/players/k/konchjo01.html,SG,25,MEM,24,0,370,39,72,.542,11,27,.407,28,45,.622,.618,7,14,.500,24,64,88,33,20,5,13,27,96
251,Furkan Korkmaz*/players/k/korkmfu01.html,SG,24,PHI,25,5,558,77,208,.370,37,124,.298,40,84,.476,.459,23,28,.821,7,63,70,60,17,3,24,21,214
252,Vit Krejci*/players/k/krejcvi01.html,SG,21,OKC,3,0,9,0,2,.000,0,2,.000,0,0,None,.000,2,2,1.000,0,3,3,0,0,0,1,0,2
253,Arnoldas Kulboka*/players/k/kulboar01.html,F,24,CHO,1,0,3,0,0,None,0,0,None,0,0,None,None,0,0,None,0,0,0,0,0,0,0,0,0
254,Jonathan Kuminga*/players/k/kuminjo01.html,SF,19,GSW,15,0,113,20,46,.435,2,15,.133,18,31,.581,.457,9,15,.600,8,18,26,5,5,2,8,17,51
255,Kyle Kuzma*/players/k/kuzmaky01.html,PF,26,WAS,26,26,853,128,301,.425,54,152,.355,74,149,.497,.515,38,56,.679,25,192,217,75,16,18,53,55,348
256,Jeremy Lamb*/players/l/lambje01.html,SF,29,IND,21,0,289,44,116,.379,23,62,.371,21,54,.389,.478,32,32,1.000,7,46,53,24,10,7,12,24,143
257,Jock Landale*/players/l/landajo01.html,C,26,SAS,8,0,24,8,10,.800,2,3,.667,6,7,.857,.900,2,3,.667,2,0,2,2,0,1,1,1,20
258,Romeo Langford*/players/l/langfro01.html,SG,22,BOS,21,0,385,39,92,.424,15,37,.405,24,55,.436,.505,9,13,.692,21,46,67,11,9,3,11,28,102
259,Zach LaVine*/players/l/lavinza01.html,SF,26,CHI,26,26,910,246,505,.487,72,191,.377,174,314,.554,.558,106,125,.848,9,127,136,110,13,9,68,41,670
260,Jake Layman*/players/l/laymaja01.html,SF,27,MIN,9,0,43,4,13,.308,2,6,.333,2,7,.286,.385,0,0,None,1,6,7,1,1,1,2,2,10
