Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,21,TOR,NBA,SF,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9
2020-21,22,IND,NBA,SF,21,16,24.7,3.5,7.2,.483,1.6,3.7,.423,1.9,3.5,.548,.593,2.4,3.1,.769,1.4,4.1,5.5,0.9,0.9,1.0,0.5,1.5,10.9
2021-22,23,IND,NBA,SF,17,0,14.5,1.9,4.1,.464,0.8,2.0,.412,1.1,2.1,.514,.565,0.2,0.6,.273,0.7,2.2,2.9,0.6,0.3,0.2,0.8,1.2,4.8
