Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,21,TOR,NBA,C,54,4,11.6,1.2,2.1,.583,0.0,0.0,None,1.2,2.1,.583,.583,0.6,1.1,.544,1.4,1.6,3.1,0.2,0.3,0.4,0.5,2.1,3.1
2017-18,22,TOR,NBA,C,82,0,18.6,3.1,4.7,.659,0.0,0.0,.500,3.1,4.7,.660,.660,0.7,1.2,.594,2.0,2.8,4.8,0.7,0.5,1.2,1.0,2.6,6.9
2018-19,23,SAS,NBA,C,77,24,16.5,2.4,3.8,.645,0.0,0.0,None,2.4,3.8,.645,.645,0.6,1.2,.533,2.3,3.0,5.3,1.2,0.4,0.9,0.6,1.6,5.5
2019-20,24,SAS,NBA,C,66,18,17.7,2.5,4.0,.624,0.0,0.0,None,2.5,4.0,.624,.624,0.6,1.3,.465,2.0,3.7,5.7,1.8,0.6,1.4,0.8,1.9,5.6
2020-21,25,SAS,NBA,C,69,51,26.7,3.8,6.2,.616,0.0,0.0,None,3.8,6.2,.616,.616,0.9,1.8,.508,3.2,4.8,7.9,1.9,0.7,1.8,1.2,2.5,8.6
2021-22,26,SAS,NBA,C,17,16,29.2,5.7,9.3,.614,0.0,0.0,None,5.7,9.3,.614,.614,0.7,2.2,.324,4.3,5.0,9.3,2.6,0.5,1.6,1.5,3.0,12.1
