Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,20,SAS,NBA,SG,17,0,6.9,0.9,2.7,.348,0.3,0.8,.385,0.6,1.9,.333,.402,0.5,0.6,.800,0.0,1.0,1.0,0.5,0.4,0.2,0.2,0.4,2.6
2019-20,21,SAS,NBA,SG,61,12,16.2,2.5,5.9,.426,0.7,1.7,.406,1.8,4.2,.434,.483,0.7,1.0,.721,0.4,1.9,2.3,1.1,0.5,0.2,0.7,1.3,6.4
2020-21,22,SAS,NBA,SG,60,38,25.4,4.3,10.2,.420,1.7,4.7,.355,2.6,5.5,.477,.502,1.0,1.2,.814,0.2,2.4,2.6,1.7,0.5,0.3,1.1,1.7,11.2
2021-22,23,SAS,NBA,SG,24,3,22.4,3.8,9.9,.380,1.5,5.2,.298,2.2,4.7,.469,.458,1.3,1.5,.838,0.1,2.8,2.9,2.5,0.7,0.3,1.3,1.3,10.3
