Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,25,TOT,NBA,SF,10,0,8.7,1.0,2.6,.385,0.4,1.2,.333,0.6,1.4,.429,.462,0.7,0.9,.778,0.2,1.5,1.7,0.8,0.4,0.1,0.3,0.5,3.1
2019-20,25,ATL,NBA,SF,2,0,8.5,0.0,3.5,.000,0.0,1.5,.000,0.0,2.0,.000,.000,0.0,0.0,None,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,0.0
2019-20,25,TOR,NBA,SF,8,0,8.8,1.3,2.4,.526,0.5,1.1,.444,0.8,1.3,.600,.632,0.9,1.1,.778,0.3,1.6,1.9,0.6,0.4,0.1,0.4,0.5,3.9
2020-21,26,TOR,NBA,SF,27,2,11.0,1.4,3.0,.463,1.1,2.4,.469,0.3,0.7,.444,.646,0.2,0.3,.625,0.1,1.5,1.7,0.6,0.2,0.1,0.3,1.3,4.1
2021-22,27,OKC,NBA,SF,5,0,15.6,0.4,3.0,.133,0.4,2.6,.154,0.0,0.4,.000,.200,0.2,0.4,.500,0.4,2.0,2.4,0.6,0.2,0.6,0.6,1.0,1.4
