Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,19,CHO,NBA,SG,63,0,13.6,2.4,6.7,.360,1.3,3.9,.342,1.1,2.9,.385,.458,0.5,0.6,.842,0.1,0.9,1.0,1.4,0.3,0.1,0.8,1.0,6.7
2018-19,20,CHO,NBA,SG,73,0,17.2,3.1,8.0,.387,1.5,4.5,.330,1.6,3.5,.461,.480,1.2,1.4,.882,0.2,1.7,1.9,1.6,0.5,0.3,1.2,1.5,8.9
2019-20,21,CHO,NBA,SG,55,1,21.3,3.9,8.9,.434,1.1,3.7,.284,2.8,5.2,.542,.494,1.5,1.8,.820,0.5,2.4,2.9,2.1,0.5,0.3,1.4,1.3,10.3
2020-21,22,CHO,NBA,SG,42,0,20.9,4.1,9.5,.434,2.0,5.0,.401,2.1,4.5,.471,.540,1.4,1.7,.819,0.3,2.1,2.4,2.1,0.5,0.1,1.3,1.1,11.7
2021-22,23,LAL,NBA,SG,27,2,24.0,3.7,8.3,.451,1.8,4.9,.366,2.0,3.4,.570,.558,0.7,0.9,.800,0.4,2.3,2.7,2.2,0.7,0.3,1.3,1.5,10.0
