Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,21,BOS,NBA,C,32,2,8.8,1.1,1.6,.706,0.0,0.0,None,1.1,1.6,.706,.706,0.3,0.5,.600,0.8,1.7,2.5,0.2,0.3,1.3,0.3,1.1,2.5
2019-20,22,BOS,NBA,C,29,1,13.4,2.2,3.0,.727,0.0,0.0,None,2.2,3.0,.727,.727,0.8,1.2,.647,1.4,3.0,4.4,0.9,0.8,1.2,0.7,1.8,5.2
2020-21,23,BOS,NBA,C,52,13,18.9,3.6,5.0,.721,0.0,0.0,.000,3.6,4.9,.727,.721,0.9,1.4,.616,2.6,4.3,6.9,1.8,0.8,1.8,1.0,2.0,8.0
2021-22,24,BOS,NBA,C,20,20,27.5,4.0,5.4,.741,0.0,0.0,None,4.0,5.4,.741,.741,1.1,1.7,.667,3.6,4.6,8.2,1.2,0.8,1.8,1.2,1.7,9.1
