Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,26,DAL,NBA,PF,72,36,16.8,2.1,4.3,.489,0.6,1.8,.313,1.5,2.5,.613,.553,0.6,0.8,.746,1.0,2.3,3.3,0.7,0.4,0.7,0.4,1.6,5.4
2018-19,27,DAL,NBA,PF,71,18,21.2,2.5,5.4,.453,1.1,3.1,.353,1.4,2.4,.583,.553,0.8,1.0,.784,1.3,3.4,4.6,1.0,0.5,1.1,0.8,2.0,6.8
2019-20,28,DAL,NBA,PF,74,21,25.5,3.2,6.9,.461,1.6,4.3,.373,1.6,2.6,.605,.577,1.1,1.3,.849,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,9.1
2020-21,29,DAL,NBA,PF,50,40,26.8,2.3,5.5,.422,1.7,4.2,.410,0.6,1.3,.460,.580,0.7,0.7,.919,0.9,4.3,5.2,1.4,0.5,0.7,0.6,2.1,7.1
2021-22,30,DAL,NBA,PF,16,3,21.8,2.3,5.6,.416,1.4,4.0,.359,0.9,1.6,.560,.545,0.9,1.3,.700,1.1,3.9,5.1,0.8,0.4,0.9,0.6,2.2,6.9
