Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,21,NYK,NBA,SF,9,0,5.9,0.7,2.4,.273,0.1,1.0,.111,0.6,1.4,.385,.295,0.4,0.6,.800,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9
2020-21,22,TOT,NBA,SF,13,0,19.2,2.7,6.4,.422,0.8,2.2,.393,1.8,4.2,.436,.488,0.8,1.1,.714,0.8,2.6,3.5,1.3,0.3,0.2,0.9,1.7,7.0
2020-21,22,NYK,NBA,SF,4,0,1.8,0.0,0.3,.000,0.0,0.0,None,0.0,0.3,.000,.000,0.5,0.5,1.000,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5
2020-21,22,PHI,NBA,SF,1,0,8.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,.000,0.0,0.0,None,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,22,ORL,NBA,SF,8,0,29.3,4.4,9.9,.443,1.4,3.4,.407,3.0,6.5,.462,.513,1.0,1.5,.667,1.3,3.9,5.1,2.0,0.5,0.4,1.4,2.8,11.1
2021-22,23,ORL,NBA,SF,12,0,8.2,0.6,2.3,.250,0.3,1.4,.176,0.3,0.9,.364,.304,0.1,0.2,.500,0.4,1.0,1.4,0.5,0.3,0.0,0.3,1.0,1.5
