Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,21,TOT,NBA,SG,79,27,22.8,3.0,7.1,.431,2.1,5.0,.422,0.9,2.0,.453,.581,0.9,1.2,.806,0.3,1.4,1.7,1.5,0.5,0.1,0.6,2.0,9.1
2018-19,21,PHI,NBA,SG,54,4,20.5,2.8,6.4,.441,1.8,4.5,.404,1.0,1.9,.529,.584,0.8,1.0,.815,0.3,1.2,1.4,1.1,0.4,0.1,0.5,2.0,8.3
2018-19,21,LAC,NBA,SG,25,23,27.8,3.5,8.4,.414,2.7,6.0,.450,0.8,2.4,.322,.576,1.2,1.6,.795,0.3,2.0,2.2,2.3,0.5,0.1,0.8,2.0,10.9
2019-20,22,LAC,NBA,SG,53,30,27.4,3.0,7.4,.404,2.1,5.6,.375,0.9,1.8,.495,.546,1.2,1.4,.855,0.1,1.8,1.9,1.9,0.4,0.2,0.8,2.7,9.3
2020-21,23,BRK,NBA,SG,61,12,23.0,3.0,7.5,.408,2.1,5.5,.387,0.9,2.0,.463,.549,1.1,1.3,.846,0.2,1.7,1.8,1.6,0.5,0.2,0.8,1.5,9.3
2021-22,24,PHO,NBA,SG,24,4,20.0,2.5,6.7,.375,1.8,4.5,.398,0.7,2.2,.327,.509,1.1,1.3,.839,0.2,2.3,2.5,1.7,0.3,0.1,0.5,1.2,7.9
