Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,26,BOS,NBA,SG,48,2,9.8,1.3,2.6,.500,0.2,0.7,.273,1.1,1.9,.581,.536,0.6,0.9,.667,0.5,1.4,1.9,0.5,0.5,0.2,0.5,0.9,3.4
2020-21,27,TOT,NBA,SF/SG,41,2,11.5,1.3,2.5,.520,0.2,0.7,.333,1.0,1.8,.597,.569,0.7,1.0,.750,0.6,1.1,1.7,0.4,0.7,0.1,0.5,1.1,3.6
2020-21,27,BOS,NBA,SF,25,2,13.8,1.6,2.8,.549,0.3,0.9,.318,1.3,2.0,.653,.599,0.8,1.2,.667,0.8,1.3,2.1,0.4,0.7,0.1,0.5,1.3,4.2
2020-21,27,CHI,NBA,SG,16,0,8.0,0.9,1.9,.452,0.2,0.5,.375,0.7,1.4,.478,.500,0.6,0.6,1.000,0.4,0.8,1.2,0.4,0.6,0.3,0.4,0.8,2.6
2021-22,28,CHI,NBA,SF,23,12,20.6,2.1,4.2,.495,0.4,1.1,.385,1.7,3.1,.535,.546,0.8,1.0,.750,1.5,2.7,4.3,0.7,0.8,0.3,0.7,2.0,5.4
