Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,22,TOT,NBA,PF/SF,13,0,4.2,0.6,0.9,.667,0.0,0.0,None,0.6,0.9,.667,.667,0.5,0.6,.875,0.5,0.6,1.1,0.1,0.2,0.0,0.2,0.4,1.8
2019-20,22,CLE,NBA,PF,11,0,3.2,0.6,0.9,.700,0.0,0.0,None,0.6,0.9,.700,.700,0.5,0.5,.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7
2019-20,22,DEN,NBA,SF,2,0,9.5,0.5,1.0,.500,0.0,0.0,None,0.5,1.0,.500,.500,1.0,1.0,1.000,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.5,2.0
2020-21,23,TOT,NBA,PF/SF,32,1,13.7,2.2,3.2,.670,0.0,0.1,.500,2.1,3.2,.673,.675,0.5,1.1,.486,0.9,2.1,3.0,0.5,0.3,0.1,0.7,1.1,4.9
2020-21,23,BRK,NBA,PF,4,0,4.3,0.3,0.8,.333,0.0,0.0,None,0.3,0.8,.333,.333,0.0,0.0,None,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
2020-21,23,DET,NBA,SF,28,1,15.0,2.4,3.6,.680,0.0,0.1,.500,2.4,3.5,.684,.685,0.6,1.3,.486,1.0,2.4,3.3,0.5,0.3,0.1,0.7,1.2,5.5
2021-22,24,CHI,NBA,PF,1,0,12.0,2.0,3.0,.667,0.0,0.0,None,2.0,3.0,.667,.667,2.0,2.0,1.000,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,6.0
