Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017-18,22,DEN,NBA,PG,3,0,8.3,1.3,2.0,.667,0.0,0.3,.000,1.3,1.7,.800,.667,0.7,0.7,1.000,0.0,0.7,0.7,2.3,1.0,0.0,0.3,0.3,3.3
2018-19,23,DEN,NBA,PG,82,6,24.0,4.2,8.6,.493,1.1,2.8,.414,3.1,5.8,.531,.560,0.8,1.0,.802,0.4,1.9,2.4,3.6,0.9,0.0,0.6,1.2,10.4
2019-20,24,DEN,NBA,PG,73,12,22.4,3.6,7.8,.459,0.9,2.4,.378,2.7,5.4,.495,.517,1.0,1.2,.843,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1.0,9.0
2020-21,25,DEN,NBA,PG,47,13,25.4,4.0,8.2,.481,1.1,2.9,.381,2.9,5.4,.534,.547,1.2,1.6,.795,0.2,1.8,2.0,3.2,0.7,0.3,0.7,1.0,10.2
2021-22,26,DEN,NBA,PG,25,25,30.2,5.2,11.0,.471,1.4,4.1,.343,3.8,6.9,.547,.535,0.4,0.5,.692,0.2,2.4,2.7,4.3,0.8,0.1,1.2,1.6,12.1
