Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,23,HOU,NBA,PG,7,0,4.7,0.3,1.1,.250,0.3,0.7,.400,0.0,0.4,.000,.375,0.0,0.0,None,0.1,0.4,0.6,0.6,0.1,0.1,0.1,0.3,0.9
2019-20,24,TOT,NBA,PG,28,2,14.3,2.0,5.0,.393,1.0,2.6,.375,1.0,2.4,.412,.489,0.2,0.2,1.000,0.3,1.6,1.9,3.0,0.8,0.1,1.1,1.3,5.1
2019-20,24,WAS,NBA,PG,10,0,12.3,1.0,3.4,.294,0.7,1.6,.438,0.3,1.8,.167,.397,0.0,0.0,None,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7
2019-20,24,BRK,NBA,PG,18,2,15.4,2.5,5.9,.425,1.1,3.1,.357,1.4,2.8,.500,.519,0.3,0.3,1.000,0.5,1.6,2.1,3.1,0.6,0.1,1.3,1.4,6.4
2020-21,25,BRK,NBA,PG,22,1,10.5,1.4,4.0,.352,0.6,1.9,.310,0.8,2.1,.391,.426,0.6,0.8,.765,0.1,1.0,1.1,3.0,0.3,0.3,0.7,0.9,4.0
2021-22,26,GSW,NBA,PG,11,0,11.3,1.0,2.7,.367,0.8,2.0,.409,0.2,0.7,.250,.517,0.1,0.1,1.000,0.5,1.0,1.5,1.6,0.5,0.0,0.8,1.4,2.9
