Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016-17,24,MIL,NBA,PG,6,0,16.5,1.3,3.7,.364,0.2,1.5,.111,1.2,2.2,.538,.386,0.5,0.8,.600,0.0,2.0,2.0,2.2,0.5,0.7,1.7,1.5,3.3
2017-18,25,TOT,NBA,PG,23,6,9.6,1.3,3.2,.405,0.3,1.1,.240,1.0,2.1,.490,.446,0.1,0.4,.333,0.6,1.3,1.9,0.9,0.3,0.1,0.3,1.3,3.0
2017-18,25,MIL,NBA,PG,12,6,8.8,1.1,2.8,.394,0.2,1.0,.167,0.9,1.8,.524,.424,0.2,0.3,.667,0.3,1.1,1.4,0.8,0.3,0.1,0.3,1.4,2.5
2017-18,25,LAL,NBA,PG,11,0,10.5,1.5,3.7,.415,0.4,1.2,.308,1.2,2.5,.464,.463,0.1,0.5,.167,0.8,1.6,2.5,1.1,0.4,0.2,0.4,1.2,3.5
2018-19,26,WAS,NBA,PG,3,0,5.3,1.7,2.7,.625,0.3,0.7,.500,1.3,2.0,.667,.688,0.0,0.0,None,0.3,0.3,0.7,1.3,1.0,0.3,0.3,0.7,3.7
2019-20,27,WAS,NBA,SF,29,17,14.9,1.7,4.0,.414,0.4,1.6,.283,1.2,2.4,.500,.470,0.1,0.3,.500,0.9,1.9,2.8,1.7,1.1,0.2,0.7,1.9,3.9
2020-21,28,GSW,NBA,PG,10,0,4.0,1.0,1.3,.769,0.2,0.4,.500,0.8,0.9,.889,.846,0.3,0.4,.750,0.2,0.9,1.1,0.1,0.6,0.1,0.1,0.8,2.5
2021-22,29,GSW,NBA,PG,24,1,14.6,2.7,4.0,.667,0.5,1.4,.394,2.1,2.6,.810,.734,0.8,1.2,.655,1.0,2.1,3.2,0.8,1.3,0.1,0.5,1.7,6.7
